NAME	X	Y	AREA
SAimp_4042-1	1077273.646	1062189.521	0.136
SAimp_E-MH-10341-1	1077274.24	1063418.568	0.197
SAimp_4042	1077276.867	1062317.873	0.164
SAimp_E-node-1546-1	1077277.088	1061874.137	0.147
SAimp_E-node-4972-3	1077281.045	1063014.9	0.121
SAimp_3948-1	1077284.272	1061283.118	0.155
SAimp_3963	1077289.546	1059428.427	0.174
SAimp_4042-2	1077305.306	1062053.483	0.11
SAimp_3456-1	1077305.356	1066607.785	0.226
Parking_E-MH-15667	1077308.701	1066033.074	0.274
SAimp_3937-2	1077312.643	1062490.792	0.17
SAimp_E-node-4972-2	1077321.227	1062861.722	0.175
SAimp_E-MH-15667	1077343.701	1066008.074	0.542
SAimp_3229-2	1077383.884	1065417.495	0.513
Parking_SPP335A-2	1077402.192	1064473.451	0.506
SAimp_SPP335A-2	1077437.192	1064448.451	0.418
SAimp_3301-1	1077439.564	1064792.429	0.544
SAimp_E-MH-10464	1077443.372	1065699.21	0.611
SAimp_E-MH-10212-2	1077446.453	1059130.846	0.415
SAimp_RO-RILEY-1	1077446.727	1059955.282	0.248
SAimp_3453-2	1077491.903	1066425.697	0.1
Parking_3412-2	1077568.314	1067244.035	6.079
SAimp_3301-4	1077568.954	1065094.419	0.19
SAimp_3456-2	1077569	1066579.544	0.176
SAimp_3243-2	1077571.023	1066196.453	0.793
Parking_E-MH-626	1077584.882	1067866.874	0.664398
SAimp_SPP335A-1	1077591.861	1064133.087	0.183
SAimp_3412-2	1077603.314	1067219.035	0.24
Parking_3923	1077642.217	1063755.847	0.389
SAimp_3453-3	1077655.64	1066315.937	0.26
Parking_3939-1	1077675.995	1062082.665	0.406
SAimp_3923	1077677.217	1063730.847	0.411
SAimp_E-node-1565	1077698.3	1064448.358	0.205
SAimp_3939-1	1077710.995	1062057.665	0.463
Parking_E-MH-5927-3	1077724.995	1058995.901	1.453
SAimp_E-MH-10439	1077731.789	1065234.389	0.109
SAimp_E-MH-10355	1077735.549	1063431.837	0.371
SAimp_5349	1077738.631	1061899.894	0.458
SAimp_E-MH-17862	1077757.244	1065859.889	0.227
SAimp_3937-1	1077770.053	1062406.978	0.423
Parking_3960	1077789.716	1059736.084	0.253
SAimp_3229-1	1077797.441	1065518.28	0.113
SAimp_5349-1	1077804.016	1061731.348	0.226
Parking_5347-1	1077804.238	1061462.29	0.165
SAimp_E-node-4970-1	1077812.549	1063146.502	0.237
SAimp_SPP247	1077814.082	1064069.655	0.141
Parking_E-MH-10212-1	1077824.141	1059434.998	0.69
SAimp_3960	1077824.716	1059711.084	1.146
SAimp_E-node-4970-2	1077834.861	1063284.616	0.229
SAimp_3243-1	1077836.693	1066152.914	0.126
SAimp_5347-1	1077839.238	1061437.29	0.532
SAimp_3453-1	1077844.19	1066328.718	0.107
SAimp_3303-2	1077853.461	1065248.252	0.31
SAimp_E-MH-10212-1	1077859.141	1059409.998	0.463
SAimp_E-node-4972-1	1077862.293	1062862.759	0.311
Parking_3412-1	1077868.27	1067103.082	2.545
SAimp_E-node-4971-1	1077871.217	1062726.27	0.258
SAimp_E-MH-684-3	1077871.861	1065941.827	0.941
SAimp_E-node-4971-2	1077885.163	1062592.852	0.208
SAimp_5347	1077891.158	1061599.916	0.481
SAimp_E-node-4972-4	1077893.133	1063009.136	0.326
SAimp_E-MH-10098	1077897.594	1061131.224	1.432
SAimp_3303-1	1077898.217	1064841.127	0.133
SAimp_3412-1	1077903.27	1067078.082	0.12
SAimp_3305-1	1077908.319	1064697.082	0.122
SAimp_RO-UTICA	1077917.751	1060740.099	1.063
SAimp_3211	1077942.548	1064486.031	0.451
Parking_3418-4	1077950.408	1067926.604	9.3
SAimp_RO-LAND	1077959.602	1060426.352	0.963
SAimp_E-MH-4692	1077971.508	1064108.503	0.157
SAimp_RO-RILEY	1077987.54	1060092.047	0.731
