NAME	X	Y
Parking_4143-1	1079191.29200000000	1064631.33200000000
Parking_4153	1079347.17000000000	1065221.74700000000
Parking_4154-1	1085475.10300000000	1061467.40700000000
Parking_4177	1086551.02900000000	1061182.66900000000
Parking_4195	1086331.04300000000	1061308.67600000000
Parking_4195-1	1086869.92800000000	1061568.07200000000
Parking_4198	1080516.84100000000	1064924.29000000000
Parking_4213	1081403.97900000000	1065107.55400000000
Parking_422	1068555.40500000000	1074957.86900000000
Parking_423	1068939.78700000000	1074563.22500000000
Parking_4265	1081993.85000000000	1061382.09900000000
Parking_4265-1	1082081.46300000000	1061544.22100000000
Parking_4284	1087689.21300000000	1064199.57800000000
Parking_4287	1081884.54100000000	1060426.33500000000
Parking_4293	1081776.92400000000	1060217.43400000000
Parking_436	1069786.44400000000	1074337.00100000000
Parking_4382	1081970.77400000000	1060058.10000000000
Parking_4392	1078804.16200000000	1063269.45900000000
Parking_4420	1086276.71100000000	1070481.21900000000
Parking_4420-1	1086493.00800000000	1070608.01600000000
Parking_4448	1084491.24000000000	1069893.62500000000
Parking_4456	1084337.27200000000	1059968.89900000000
Parking_4456-1	1084092.53500000000	1060066.55500000000
Parking_4473-1	1087822.28300000000	1061872.45000000000
Parking_4479-1	1087544.79300000000	1061644.18500000000
Parking_449	1071497.70900000000	1074297.83600000000
Parking_456	1071829.32900000000	1073982.29500000000
Parking_457	1071867.13300000000	1074345.25200000000
Parking_4571	1084163.61500000000	1072658.71900000000
Parking_4655-2	1084371.35900000000	1071462.48800000000
Parking_4668	1085374.54700000000	1068277.29100000000
Parking_4685-1	1087070.27700000000	1072054.04300000000
Parking_469	1065782.71900000000	1070305.85900000000
Parking_469-1	1066100.02500000000	1070982.45700000000
Parking_4731	1086391.97300000000	1073937.18300000000
Parking_4734	1086578.78100000000	1074421.02000000000
Parking_478	1065656.56000000000	1071056.19500000000
Parking_4835-2	1072497.27600000000	1064274.07100000000
Parking_4847-1	1073483.98400000000	1064008.25700000000
