Name	X-Coordinate	Y-Coordinate
Buf1_2740	1087227.449	1068621.609
Buf1_2740-1	1088723.735	1068621.071
Buf1_2742-1	1087536.97	1069265.562
Buf1_2742-2	1087673.393	1069167.85
Buf1_2744	1087127.554	1069332.243
Buf1_2746	1088029.981	1069613.966
Buf1_2752	1090010.039	1069167.302
Buf1_2790	1087549.323	1063216.403
Buf1_2793-1	1087574.954	1063734.477
Buf1_2793-2	1087554.042	1063460.536
Buf1_2798	1087482.573	1064217.987
Buf1_2798-1	1087541.4	1064598.802
Buf1_2802	1087478.012	1064806.817
Buf1_2812	1087728.144	1065027.873
Buf1_2815	1087985.011	1064810.848
Buf1_2815-1	1088211.014	1065026.718
Buf1_2823	1088041.735	1070167.918
Buf1_2823-1	1087175.36	1070150.6
Buf1_2825	1087987.693	1070459.449
Buf1_2829	1088061.351	1070717.209
Buf1_283-1	1065134.3	1073515.87
Buf1_2859	1090163.903	1069628.82
Buf1_2865	1090148.911	1069912.135
Buf1_2867	1090165.403	1070178.185
Buf1_2869	1089972.099	1070437.55
Buf1_2881	1089594.106	1072760.206
Buf1_2881-1	1089709.897	1072663.992
Buf1_2881-2	1090417.838	1072886.082
Buf1_2883	1089514.021	1073105.719
Buf1_2887-1	1088923.117	1065191.864
Buf1_2887-2	1089204.774	1065313.203
Buf1_2895	1089419.071	1066053.131
Buf1_29	1062534.684	1077250.278
Buf1_2903	1089101.957	1069621.541
Buf1_2905-1	1089834.338	1065354.685
Buf1_2905-2	1089987.721	1065285.323
Buf1_2907-1	1089740.583	1066135.315
Buf1_29-1	1062498.529	1076988.907
Buf1_2911	1090072.897	1065948.184
Buf1_2917	1089108.432	1069895.699
Buf1_2919	1089131.408	1070162.663
Buf1_292	1066065.062	1074039.552
Buf1_29-2	1062961.647	1076611.12
Buf1_2921	1088720.462	1070604.1
Buf1_2925	1090338.256	1070431.046
Buf1_2945	1089022.927	1070869.857
Buf1_2947	1089374.36	1071074.083
Buf1_2947-1	1089540.017	1070420.947
Buf1_2959	1085009.706	1062152.066
Buf1_2959-1	1085086.022	1061240.933
Buf1_299	1066111.802	1074608.389
Buf1_3003	1088140.118	1065478.992
Buf1_3012	1088430.674	1066035.378
Buf1_3016	1085234.589	1065617.352
Buf1_3016-1	1085007.961	1065819.761
Buf1_3018	1084765.879	1066286.944
Buf1_3018-2	1084767.918	1065610.144
Buf1_3019	1089091.208	1066069.008
Buf1_3024	1084458.489	1065942.46
Buf1_3024-1	1084530.559	1064796.65
Buf1_3024-2	1084254.674	1064764.498
Buf1_3024-3	1084241	1065051.626
Buf1_3026	1087699.586	1067755.646
Buf1_3030	1088293.454	1067763.429
