                0            1     2     3     4     5     6     7     8     9
180   1070664.245  1051000.991  44.0  68.0  32.0  20.0  11.0  82.0  39.0  30.0
181   1070665.060  1051706.997  36.0  19.0   7.0  41.0  11.0  39.0  18.0  64.0
182   1070668.555  1050822.997  44.0  68.0  32.0  20.0  11.0  82.0  39.0  15.0
183   1070680.715  1054211.189   6.0  61.0  31.0  13.0  12.0  13.0  17.0  79.0
184   1070703.555  1050797.997  44.0  68.0  32.0  20.0  11.0  82.0  39.0  15.0
185   1070720.875  1052369.087  36.0  19.0   7.0  41.0  26.0  39.0  18.0  64.0
186   1070722.498  1051959.318  36.0  19.0   7.0  41.0  11.0  39.0  18.0  64.0
187   1070731.995  1051252.791  44.0  59.0   7.0  20.0  11.0  82.0  39.0  30.0
188   1070755.875  1052344.087  36.0  19.0   7.0  41.0  26.0  39.0  18.0  64.0
189   1070757.498  1051934.318  36.0  19.0   7.0  41.0  11.0  39.0  18.0  64.0
190   1070763.077  1055234.419  34.0  61.0  31.0  54.0  12.0  78.0  47.0  40.0
191   1070764.862  1052855.732   6.0  85.0   2.0  61.0  26.0  94.0  18.0   8.0
192   1070766.584  1049952.130  44.0  68.0  32.0  20.0  31.0  82.0  39.0  15.0
193   1070766.995  1051227.791  44.0  59.0  32.0  20.0  11.0  82.0  39.0  30.0
194   1070792.601  1052654.542  36.0  85.0   7.0  41.0  26.0  79.0  18.0   8.0
195   1070793.288  1054739.025  34.0  61.0  31.0  13.0  12.0  78.0  17.0  40.0
196   1070798.077  1055209.419  34.0  61.0  31.0  54.0  12.0  78.0  47.0  40.0
197   1070800.564  1055054.664  34.0  61.0  31.0  54.0  12.0  78.0  47.0  40.0
198   1070809.394  1053661.396   6.0   2.0   2.0  98.0  26.0  13.0  17.0  79.0
199   1070828.288  1054714.025  34.0  61.0  31.0  13.0  12.0  78.0  17.0  40.0
200   1070831.934  1053444.751   6.0   2.0   2.0  98.0  26.0  94.0  17.0  79.0
201   1070864.775  1054352.792   6.0  61.0  31.0  13.0  12.0  13.0  17.0  79.0
202   1070870.813  1051489.778  36.0  59.0   7.0  41.0  11.0  39.0  18.0  30.0
203   1070874.519  1052366.981  36.0  19.0   7.0  41.0  26.0  39.0  18.0  64.0
204   1070882.133  1053011.016   6.0  85.0   2.0  61.0  26.0  94.0  18.0   8.0
205   1070888.805  1050395.345  44.0  68.0  32.0  20.0  31.0  82.0  39.0  15.0
206   1070888.906  1054018.739   6.0   2.0   2.0  13.0  12.0  13.0  17.0  79.0
207   1070893.780  1053281.241   6.0   2.0   2.0  61.0  26.0  94.0  17.0   8.0
208   1070903.423  1052137.298  36.0  19.0   7.0  41.0  11.0  39.0  18.0  64.0
209   1070917.133  1052986.016   6.0  85.0   2.0  61.0  26.0  94.0  18.0   8.0
210   1070923.805  1050370.345  44.0  68.0  32.0  20.0  31.0  82.0  39.0  15.0
211   1070928.780  1053256.241   6.0   2.0   2.0  61.0  26.0  94.0  17.0   8.0
212   1070935.002  1050596.193  44.0  68.0  32.0  20.0  11.0  82.0  39.0  15.0
213   1070938.423  1052112.298  36.0  19.0   7.0  41.0  11.0  39.0  18.0  64.0
214   1070947.776  1054262.916   6.0  61.0  31.0  13.0  12.0  13.0  17.0  79.0
215   1070956.636  1051840.488  36.0  59.0   7.0  41.0  11.0  39.0  18.0  64.0
216   1070970.002  1050571.193  44.0  68.0  32.0  20.0  11.0  82.0  39.0  15.0
217   1070975.979  1049722.588  44.0  68.0  32.0  11.0  41.0  11.0  39.0  15.0
218   1070986.232  1050775.324  44.0  68.0  32.0  20.0  11.0  82.0  39.0  30.0
219   1070988.440  1052929.704   6.0  85.0   2.0  61.0  26.0  94.0  18.0   8.0
220   1070991.636  1051815.488  36.0  59.0   7.0  41.0  11.0  39.0  18.0  64.0
221   1070995.411  1053526.287   6.0   2.0   2.0  61.0  26.0  94.0  17.0  79.0
222   1071006.501  1054014.437   6.0   2.0  31.0  13.0  12.0  13.0  17.0  79.0
223   1071021.232  1050750.324  44.0  68.0  32.0  20.0  11.0  82.0  39.0  30.0
224   1071033.300  1052602.624  36.0  85.0   7.0  41.0  26.0  79.0  18.0   8.0
225   1071038.904  1052495.080  36.0  85.0   7.0  41.0  26.0  79.0  18.0  64.0
226   1071054.261  1051098.164  44.0  59.0  32.0  20.0  11.0  82.0  39.0  30.0
227   1071087.321  1052984.903   6.0  85.0   2.0  61.0  26.0  94.0  18.0   8.0
228   1071089.261  1051073.164  44.0  59.0  32.0  20.0  11.0  82.0  39.0  30.0
229   1071105.885  1052309.989  36.0  85.0   7.0  41.0  11.0  79.0  18.0  64.0
